"time"	"s.est"	"s.lower"	"s.upper"	"v.est"	"v.lower"	"v.upper"
0	6.2269458009036	0.6481208117977	16.5036647358764	29993.827570145	29963.8594045577	30024.3956071681
0.5	6.30462152777533	0.64964524513919	16.7783253583631	16993.619374322	16964.0080080892	17023.1569578023
1	6.35442100568376	0.70722553924944	17.252002136191	5993.5636664903	5963.95080875292	6023.00643639886
1.5	6.48435286030734	0.699309211301724	17.0314910230998	2793.50065707445	2763.52427832354	2823.2803188704
2	11.3019570017923	2.15242433106827	23.2994249569552	2288.60759354434	2258.14127400484	2318.90221954859
2.5	10.3808268055844	1.97495234441785	22.2286350968399	2489.65749042037	2459.03316599017	2520.40662976377
3	18.4988695375868	6.68606594579116	31.2880768640891	1181.36616036399	1150.24388125685	1212.43926713966
3.5	25.0835956587799	12.374470699192	37.6934365338121	1974.87132090479	1943.60673102242	2005.68594934774
4	35.7667197134427	22.1258251774241	48.327107600242	1664.09902523242	1632.83209692093	1695.36400159442
4.5	28.6637773298432	15.5446918721075	41.2788361315922	370.998459949824	340.002474798558	401.961385022891
5	44.783753165161	31.0260221789084	57.5362133097453	784.986872254178	753.312231467721	816.222671901829
5.5	55.7222372475332	42.0630395725892	68.741619448967	584.007591955494	552.300288878914	615.354855564111
6	54.7873494848947	41.3837526938311	67.6863684964506	394.664057657146	363.452774321675	426.239047844467
6.5	55.6034254761903	42.0524814367394	68.1561867131072	574.220219531127	542.781188907543	605.65906761185
7	44.836099152486	31.1460044320225	57.6742853699139	254.607352000741	223.246513592006	285.570311648595
7.5	69.7108686227944	55.9684524756593	82.5347126493121	249.591188582136	218.121850380292	281.061732656249
8	61.6169961791599	47.745463308615	74.778266024029	277.871486874312	246.002800576093	309.510798238417
8.5	97.7154479406243	84.0195761796963	110.605678530697	201.37841142064	169.865837078371	233.283523280209
9	72.9805832752846	59.0364088460156	86.6261660814516	27.2681502914302	0.00935622029570581	62.2851605777481
10	61.7792109280665	50.8001247940062	73.5022411999807	17.9219262459061	3.0590386456454	39.8215378433597
11	74.163194339616	62.4949915018338	86.3304888098254	28.210099054327	7.07693526553916	54.2566282420992
12	78.8051965213181	66.8037658519183	90.5672391696407	22.6492054812052	4.58381926352194	46.5043890548403
12.5	108.422507735998	95.5237141166268	119.891875847468	20.1597672179728	3.92723455982465	43.0322713625677
13	94.6326560747188	80.224363735454	105.598458779601	9.96311353692612	1.41920475092541	24.9715337400472
13.5	92.5107811311812	78.4259104779293	103.526872312721	11.3212695013686	1.65207359058802	27.9280188141772
14	65.4299403348026	54.2199202022477	77.3103367146655	22.0422194116674	4.22459126173776	46.112737308948
14.5	55.6040803518151	45.1160615085446	67.6122034113888	20.9886707323618	4.21079095567185	44.5547025868692
15	83.1738316492089	71.0748965136719	94.5987289092117	21.3317842301204	4.18965217760092	45.4530844479154
15.5	71.2513630913972	59.6598069273704	83.4041584064499	26.8756034916891	6.41258022444274	52.5036475025823
16	78.9551733384489	66.8876116484665	90.4214708134503	18.8981895039319	3.45964536733644	41.1706267984495
16.5	74.0324649504448	62.1384886045605	85.288225941093	17.4707760127195	3.0349077470532	38.8618533547183
17	69.7482302164485	58.1110644244218	81.8873728279542	22.6894998416278	4.71164464974993	46.5954963575968
17.5	95.0610192433589	81.0199522179236	105.99187640062	10.7124541322814	1.55413622614843	26.2264438410964
18	44.3396709875307	34.4267218298985	56.332234019905	17.940031786612	3.1394027684605	39.9406175254939
19	65.1982801603889	53.9504064422229	77.2355756868167	21.1652972383511	4.19985329255827	44.4474298174365
20	65.0372841134815	53.8672929589614	76.6419356992432	21.4443546645062	4.17406048614566	44.4080749312387
21	87.2669061596955	74.8456494359826	99.6857944407331	30.9073906390047	8.21909751032696	57.8784308795486
22	68.188642701524	57.0333858990349	80.2873778121161	23.2965193938091	4.97204734262327	47.8980514867086
23	77.6927947061684	65.7460596257549	88.9958952623304	17.4628175482482	3.01163519806964	39.1317273058082
25	77.3442045649971	65.4748030731555	89.3449909082496	24.9420985872702	5.45743162000984	50.4215023902663
26	68.6993748940947	57.3972746267488	81.1367007287525	29.2667457728468	7.29110153910438	56.6875761934134
27	89.4111837994408	76.0178445494617	100.559871231493	12.0619042656605	1.79507560146623	29.4881311771245
28	81.2226720892243	69.0198004302552	92.5641762086222	16.8777803188902	2.95993639852251	37.6712139358711
29	73.8394218944602	62.3704169290736	85.9000663334864	26.6751033956594	6.28917420021567	52.3910439416416
31	66.3824878081303	55.0899209380714	78.0630136954874	19.0018177190098	3.48233269990038	41.2472548284912
33	58.3153493568423	47.5717216482037	71.2128743093993	31.4574764860423	8.5951808765625	58.3804766712612
35	51.6044409769115	41.0200307892854	64.1282834611883	22.6139426433059	4.73258925021874	47.1275312662841
37	71.5210934197084	59.4202843101667	82.4309591240404	12.9930143377328	2.09751480298775	31.4217426237113
39	69.3956915653975	56.7437728403373	80.0344940926521	10.8728982237888	1.65319972884917	27.298056289842
41	95.6189306013437	81.9378505807042	106.524947488055	11.3233139467525	1.67107183212208	28.1059482039546
43	89.4718374030425	74.9891573874817	100.736578932479	9.72930418143986	1.40450117020649	25.0023998990585
45	71.541173913345	59.6879983663573	83.5884173861452	22.7427789963495	4.58649618177796	46.8334935928358
