time	rep	total	spore	total_dil	spor_dil
3216	A	56	44	5	5
3216	B	57	55	5	5
3216	C	59	48	5	5
3216	D	60	54	5	5
3264	A	45	24	5	5
3264	B	46	23	5	5
3264	C	43	23	5	5
3264	D	54	30	5	5
3312	A	51	57	5	5
3312	B	63	35	5	5
3312	C	60	50	5	5
3312	D	68	46	5	5
3360	A	43	26	5	5
3360	B	69	47	5	5
3360	C	36	47	5	5
3360	D	61	49	5	5
3408	A	68	48	5	5
3408	B	51	46	5	5
3408	C	49	56	5	5
3408	D	61	44	5	5
3456	A	41	40	5	5
3456	B	53	48	5	5
3456	C	57	33	5	5
3456	D	37	34	5	5
4248	A	30	53	5	5
4248	B	62	57	5	5
4248	C	44	48	5	5
4248	D	51	61	5	5
4296	A	43	39	5	5
4296	B	47	45	5	5
4296	C	62	42	5	5
4296	D	57	39	5	5
4344	A	52	52	5	5
4344	B	60	40	5	5
4344	C	57	49	5	5
4344	D	72	48	5	5
4392	A	46	51	5	5
4392	B	52	46	5	5
4392	C	57	47	5	5
4392	D	61	55	5	5
4440	A	46	27	5	5
4440	B	48	27	5	5
4440	C	51	32	5	5
4440	D	54	41	5	5
4488	A	52	51	5	5
4488	B	68	49	5	5
4488	C	50	47	5	5
4488	D	50	56	5	5
4536	A	55	51	5	5
4536	B	57	40	5	5
4536	C	66	57	5	5
4536	D	45	39	5	5
4584	A	46	35	5	5
4584	B	56	58	5	5
4584	C	38	43	5	5
4584	D	47	44	5	5
4632	A	54	38	5	5
4632	B	52	30	5	5
4632	C	52	40	5	5
4632	D	56	37	5	5
4680	A	50	56	5	5
4680	B	49	54	5	5
4680	C	55	43	5	5
4680	D	32	52	5	5
4728	A	52	35	5	5
4728	B	53	34	5	5
4728	C	53	47	5	5
4728	D	59	31	5	5
4776	A	52	37	5	5
4776	B	44	34	5	5
4776	C	45	50	5	5
4776	D	51	48	5	5
4824	A	53	47	5	5
4824	B	61	44	5	5
4824	C	38	48	5	5
4824	D	47	45	5	5
4872	A	37	32	5	5
4872	B	63	47	5	5
4872	C	70	38	5	5
4872	D	44	38	5	5
4920	A	55	33	5	5
4920	B	60	59	5	5
4920	C	58	47	5	5
4920	D	55	36	5	5
4968	A	43	39	5	5
4968	B	63	63	5	5
4968	C	59	48	5	5
4968	D	59	47	5	5
5016	A	40	45	5	5
5016	B	68	36	5	5
5016	C	59	49	5	5
5016	D	74	61	5	5
5064	A	48	28	5	5
