Replicate	Treatment	Bin	Count
Sim70	STS-S	0.34	0
Sim71	STS-S	0.34	0
Sim72	STS-S	0.34	0
Sim73	STS-S	0.34	0
Sim74	STS-S	0.34	0
Sim75	STS-S	0.34	0
Sim76	STS-S	0.34	0
Sim77	STS-S	0.34	0
Sim78	STS-S	0.34	0
Sim79	STS-S	0.34	0
Sim80	STS-S	0.34	0
Sim81	STS-S	0.34	0
Sim82	STS-S	0.34	0
Sim83	STS-S	0.34	0
Sim84	STS-S	0.34	0
Sim85	STS-S	0.34	0
Sim86	STS-S	0.34	0
Sim87	STS-S	0.34	0
Sim88	STS-S	0.34	0
Sim89	STS-S	0.34	0
Sim90	STS-S	0.34	0
Sim91	STS-S	0.34	0
Sim92	STS-S	0.34	0
Sim93	STS-S	0.34	0
Sim94	STS-S	0.34	0
Sim95	STS-S	0.34	0
Sim96	STS-S	0.34	0
Sim97	STS-S	0.34	0
Sim98	STS-S	0.34	0
Sim99	STS-S	0.34	0
Sim100	STS-S	0.34	0
Sim1	STS-S	0.38	0
Sim2	STS-S	0.38	0
Sim3	STS-S	0.38	0
Sim4	STS-S	0.38	0
Sim5	STS-S	0.38	0
Sim6	STS-S	0.38	0
Sim7	STS-S	0.38	0
Sim8	STS-S	0.38	0
Sim9	STS-S	0.38	0
Sim10	STS-S	0.38	0
Sim11	STS-S	0.38	0
Sim12	STS-S	0.38	0
Sim13	STS-S	0.38	0
Sim14	STS-S	0.38	0
Sim15	STS-S	0.38	0
Sim16	STS-S	0.38	0
Sim17	STS-S	0.38	0
Sim18	STS-S	0.38	0
Sim19	STS-S	0.38	0
Sim20	STS-S	0.38	0
Sim21	STS-S	0.38	0
Sim22	STS-S	0.38	0
Sim23	STS-S	0.38	0
Sim24	STS-S	0.38	0
Sim25	STS-S	0.38	0
Sim26	STS-S	0.38	0
Sim27	STS-S	0.38	0
Sim28	STS-S	0.38	0
Sim29	STS-S	0.38	0
Sim30	STS-S	0.38	0
Sim31	STS-S	0.38	0
Sim32	STS-S	0.38	0
Sim33	STS-S	0.38	0
Sim34	STS-S	0.38	0
Sim35	STS-S	0.38	0
Sim36	STS-S	0.38	0
Sim37	STS-S	0.38	0
Sim38	STS-S	0.38	0
Sim39	STS-S	0.38	0
Sim40	STS-S	0.38	0
Sim41	STS-S	0.38	0
Sim42	STS-S	0.38	0
Sim43	STS-S	0.38	0
Sim44	STS-S	0.38	0
Sim45	STS-S	0.38	0
Sim46	STS-S	0.38	0
Sim47	STS-S	0.38	0
Sim48	STS-S	0.38	0
Sim49	STS-S	0.38	0
Sim50	STS-S	0.38	0
Sim51	STS-S	0.38	0
Sim52	STS-S	0.38	0
Sim53	STS-S	0.38	0
Sim54	STS-S	0.38	0
Sim55	STS-S	0.38	0
Sim56	STS-S	0.38	0
Sim57	STS-S	0.38	0
Sim58	STS-S	0.38	0
Sim59	STS-S	0.38	0
Sim60	STS-S	0.38	0
Sim61	STS-S	0.38	0
Sim62	STS-S	0.38	0
Sim63	STS-S	0.38	0
Sim64	STS-S	0.38	0
Sim65	STS-S	0.38	0
Sim66	STS-S	0.38	0
Sim67	STS-S	0.38	0
Sim68	STS-S	0.38	0
Sim69	STS-S	0.38	0
Sim70	STS-S	0.38	0
Sim71	STS-S	0.38	0
Sim72	STS-S	0.38	0
Sim73	STS-S	0.38	0
Sim74	STS-S	0.38	0
Sim75	STS-S	0.38	0
Sim76	STS-S	0.38	0
Sim77	STS-S	0.38	0
Sim78	STS-S	0.38	0
Sim79	STS-S	0.38	0
Sim80	STS-S	0.38	0
Sim81	STS-S	0.38	0
Sim82	STS-S	0.38	0
Sim83	STS-S	0.38	0
Sim84	STS-S	0.38	0
Sim85	STS-S	0.38	0
Sim86	STS-S	0.38	0
Sim87	STS-S	0.38	0
Sim88	STS-S	0.38	0
Sim89	STS-S	0.38	0
Sim90	STS-S	0.38	0
Sim91	STS-S	0.38	0
Sim92	STS-S	0.38	0
Sim93	STS-S	0.38	0
Sim94	STS-S	0.38	0
Sim95	STS-S	0.38	0
Sim96	STS-S	0.38	0
Sim97	STS-S	0.38	0
Sim98	STS-S	0.38	0
Sim99	STS-S	0.38	0
Sim100	STS-S	0.38	0
Sim1	STS-S	0.42	0
Sim2	STS-S	0.42	0
Sim3	STS-S	0.42	0
Sim4	STS-S	0.42	0
Sim5	STS-S	0.42	0
Sim6	STS-S	0.42	0
Sim7	STS-S	0.42	0
Sim8	STS-S	0.42	0
Sim9	STS-S	0.42	0
Sim10	STS-S	0.42	0
Sim11	STS-S	0.42	0
Sim12	STS-S	0.42	0
Sim13	STS-S	0.42	0
Sim14	STS-S	0.42	0
Sim15	STS-S	0.42	0
Sim16	STS-S	0.42	0
Sim17	STS-S	0.42	0
Sim18	STS-S	0.42	0
Sim19	STS-S	0.42	0
Sim20	STS-S	0.42	0
Sim21	STS-S	0.42	0
Sim22	STS-S	0.42	0
Sim23	STS-S	0.42	0
Sim24	STS-S	0.42	0
Sim25	STS-S	0.42	0
Sim26	STS-S	0.42	0
Sim27	STS-S	0.42	0
Sim28	STS-S	0.42	0
Sim29	STS-S	0.42	0
Sim30	STS-S	0.42	0
Sim31	STS-S	0.42	0
Sim32	STS-S	0.42	0
Sim33	STS-S	0.42	0
Sim34	STS-S	0.42	0
Sim35	STS-S	0.42	0
Sim36	STS-S	0.42	0
Sim37	STS-S	0.42	0
Sim38	STS-S	0.42	0
Sim39	STS-S	0.42	0
Sim40	STS-S	0.42	0
Sim41	STS-S	0.42	0
Sim42	STS-S	0.42	0
Sim43	STS-S	0.42	0
Sim44	STS-S	0.42	0
Sim45	STS-S	0.42	0
Sim46	STS-S	0.42	0
Sim47	STS-S	0.42	0
Sim48	STS-S	0.42	0
Sim49	STS-S	0.42	0
Sim50	STS-S	0.42	0
Sim51	STS-S	0.42	0
Sim52	STS-S	0.42	0
Sim53	STS-S	0.42	0
Sim54	STS-S	0.42	0
Sim55	STS-S	0.42	0
Sim56	STS-S	0.42	0
Sim57	STS-S	0.42	0
Sim58	STS-S	0.42	0
Sim59	STS-S	0.42	0
Sim60	STS-S	0.42	0
Sim61	STS-S	0.42	0
Sim62	STS-S	0.42	0
Sim63	STS-S	0.42	0
Sim64	STS-S	0.42	0
Sim65	STS-S	0.42	0
Sim66	STS-S	0.42	0
Sim67	STS-S	0.42	0
Sim68	STS-S	0.42	0
Sim69	STS-S	0.42	0
Sim70	STS-S	0.42	0
Sim71	STS-S	0.42	0
Sim72	STS-S	0.42	0
Sim73	STS-S	0.42	0
Sim74	STS-S	0.42	0
Sim75	STS-S	0.42	0
Sim76	STS-S	0.42	0
Sim77	STS-S	0.42	0
Sim78	STS-S	0.42	0
Sim79	STS-S	0.42	0
Sim80	STS-S	0.42	0
Sim81	STS-S	0.42	0
Sim82	STS-S	0.42	0
Sim83	STS-S	0.42	0
Sim84	STS-S	0.42	0
Sim85	STS-S	0.42	0
Sim86	STS-S	0.42	0
Sim87	STS-S	0.42	0
Sim88	STS-S	0.42	0
Sim89	STS-S	0.42	0
Sim90	STS-S	0.42	0
Sim91	STS-S	0.42	0
Sim92	STS-S	0.42	0
Sim93	STS-S	0.42	0
Sim94	STS-S	0.42	0
Sim95	STS-S	0.42	0
Sim96	STS-S	0.42	0
Sim97	STS-S	0.42	0
Sim98	STS-S	0.42	0
Sim99	STS-S	0.42	0
Sim100	STS-S	0.42	0
Sim1	STS-S	0.46	0
Sim2	STS-S	0.46	0
Sim3	STS-S	0.46	0
Sim4	STS-S	0.46	0
Sim5	STS-S	0.46	0
Sim6	STS-S	0.46	0
Sim7	STS-S	0.46	0
Sim8	STS-S	0.46	0
Sim9	STS-S	0.46	0
Sim10	STS-S	0.46	0
Sim11	STS-S	0.46	0
Sim12	STS-S	0.46	0
Sim13	STS-S	0.46	0
Sim14	STS-S	0.46	0
Sim15	STS-S	0.46	0
Sim16	STS-S	0.46	0
Sim17	STS-S	0.46	0
Sim18	STS-S	0.46	0
Sim19	STS-S	0.46	0
Sim20	STS-S	0.46	0
Sim21	STS-S	0.46	0
Sim22	STS-S	0.46	0
Sim23	STS-S	0.46	0
Sim24	STS-S	0.46	0
Sim25	STS-S	0.46	0
Sim26	STS-S	0.46	0
Sim27	STS-S	0.46	0
Sim28	STS-S	0.46	0
Sim29	STS-S	0.46	0
Sim30	STS-S	0.46	0
Sim31	STS-S	0.46	0
Sim32	STS-S	0.46	0
Sim33	STS-S	0.46	0
Sim34	STS-S	0.46	0
Sim35	STS-S	0.46	0
Sim36	STS-S	0.46	0
Sim37	STS-S	0.46	0
Sim38	STS-S	0.46	0
Sim39	STS-S	0.46	0
Sim40	STS-S	0.46	0
Sim41	STS-S	0.46	0
Sim42	STS-S	0.46	0
Sim43	STS-S	0.46	0
Sim44	STS-S	0.46	0
Sim45	STS-S	0.46	0
Sim46	STS-S	0.46	0
Sim47	STS-S	0.46	0
Sim48	STS-S	0.46	0
Sim49	STS-S	0.46	0
Sim50	STS-S	0.46	0
Sim51	STS-S	0.46	0
Sim52	STS-S	0.46	0
Sim53	STS-S	0.46	0
Sim54	STS-S	0.46	0
Sim55	STS-S	0.46	0
Sim56	STS-S	0.46	0
Sim57	STS-S	0.46	0
Sim58	STS-S	0.46	0
Sim59	STS-S	0.46	0
Sim60	STS-S	0.46	0
Sim61	STS-S	0.46	0
Sim62	STS-S	0.46	0
Sim63	STS-S	0.46	0
Sim64	STS-S	0.46	0
Sim65	STS-S	0.46	0
Sim66	STS-S	0.46	0
Sim67	STS-S	0.46	0
Sim68	STS-S	0.46	0
Sim69	STS-S	0.46	0
Sim70	STS-S	0.46	0
Sim71	STS-S	0.46	0
Sim72	STS-S	0.46	0
Sim73	STS-S	0.46	0
Sim74	STS-S	0.46	0
Sim75	STS-S	0.46	0
Sim76	STS-S	0.46	0
Sim77	STS-S	0.46	0
Sim78	STS-S	0.46	0
Sim79	STS-S	0.46	0
Sim80	STS-S	0.46	0
Sim81	STS-S	0.46	0
Sim82	STS-S	0.46	0
Sim83	STS-S	0.46	0
Sim84	STS-S	0.46	0
Sim85	STS-S	0.46	0
Sim86	STS-S	0.46	0
Sim87	STS-S	0.46	0
Sim88	STS-S	0.46	0
Sim89	STS-S	0.46	0
Sim90	STS-S	0.46	0
Sim91	STS-S	0.46	0
Sim92	STS-S	0.46	0
Sim93	STS-S	0.46	0
Sim94	STS-S	0.46	0
Sim95	STS-S	0.46	0
Sim96	STS-S	0.46	0
Sim97	STS-S	0.46	0
Sim98	STS-S	0.46	0
Sim99	STS-S	0.46	0
Sim100	STS-S	0.46	0
Sim1	STS-S	0.5	0
Sim2	STS-S	0.5	0
Sim3	STS-S	0.5	0
Sim4	STS-S	0.5	0
Sim5	STS-S	0.5	0
Sim6	STS-S	0.5	0
Sim7	STS-S	0.5	0
Sim8	STS-S	0.5	0
Sim9	STS-S	0.5	0
Sim10	STS-S	0.5	0
Sim11	STS-S	0.5	0
Sim12	STS-S	0.5	0
Sim13	STS-S	0.5	0
Sim14	STS-S	0.5	0
Sim15	STS-S	0.5	0
Sim16	STS-S	0.5	0
Sim17	STS-S	0.5	0
Sim18	STS-S	0.5	0
Sim19	STS-S	0.5	0
Sim20	STS-S	0.5	0
Sim21	STS-S	0.5	0
Sim22	STS-S	0.5	0
Sim23	STS-S	0.5	0
Sim24	STS-S	0.5	0
Sim25	STS-S	0.5	0
Sim26	STS-S	0.5	0
Sim27	STS-S	0.5	0
Sim28	STS-S	0.5	0
Sim29	STS-S	0.5	0
Sim30	STS-S	0.5	0
Sim31	STS-S	0.5	0
Sim32	STS-S	0.5	0
Sim33	STS-S	0.5	0
Sim34	STS-S	0.5	0
Sim35	STS-S	0.5	0
Sim36	STS-S	0.5	0
Sim37	STS-S	0.5	0
Sim38	STS-S	0.5	0
Sim39	STS-S	0.5	0
Sim40	STS-S	0.5	0
Sim41	STS-S	0.5	0
Sim42	STS-S	0.5	0
Sim43	STS-S	0.5	0
Sim44	STS-S	0.5	0
Sim45	STS-S	0.5	0
Sim46	STS-S	0.5	0
Sim47	STS-S	0.5	0
Sim48	STS-S	0.5	0
Sim49	STS-S	0.5	0
Sim50	STS-S	0.5	0
Sim51	STS-S	0.5	0
Sim52	STS-S	0.5	0
Sim53	STS-S	0.5	0
Sim54	STS-S	0.5	0
Sim55	STS-S	0.5	0
Sim56	STS-S	0.5	0
Sim57	STS-S	0.5	0
Sim58	STS-S	0.5	0
Sim59	STS-S	0.5	0
Sim60	STS-S	0.5	0
Sim61	STS-S	0.5	0
Sim62	STS-S	0.5	0
Sim63	STS-S	0.5	0
Sim64	STS-S	0.5	0
Sim65	STS-S	0.5	0
Sim66	STS-S	0.5	0
Sim67	STS-S	0.5	0
Sim68	STS-S	0.5	0
Sim69	STS-S	0.5	0
Sim70	STS-S	0.5	0
Sim71	STS-S	0.5	0
Sim72	STS-S	0.5	0
Sim73	STS-S	0.5	0
Sim74	STS-S	0.5	0
Sim75	STS-S	0.5	0
Sim76	STS-S	0.5	0
Sim77	STS-S	0.5	0
Sim78	STS-S	0.5	0
Sim79	STS-S	0.5	0
Sim80	STS-S	0.5	0
Sim81	STS-S	0.5	0
Sim82	STS-S	0.5	0
Sim83	STS-S	0.5	0
Sim84	STS-S	0.5	0
Sim85	STS-S	0.5	0
Sim86	STS-S	0.5	0
Sim87	STS-S	0.5	0
Sim88	STS-S	0.5	0
Sim89	STS-S	0.5	0
Sim90	STS-S	0.5	0
Sim91	STS-S	0.5	0
Sim92	STS-S	0.5	0
Sim93	STS-S	0.5	0
Sim94	STS-S	0.5	0
Sim95	STS-S	0.5	0
Sim96	STS-S	0.5	0
Sim97	STS-S	0.5	0
Sim98	STS-S	0.5	0
Sim99	STS-S	0.5	0
Sim100	STS-S	0.5	0
Sim1	LTS-S	0.02	1
Sim2	LTS-S	0.02	2
Sim3	LTS-S	0.02	0
Sim4	LTS-S	0.02	2
Sim5	LTS-S	0.02	0
Sim6	LTS-S	0.02	3
Sim7	LTS-S	0.02	0
Sim8	LTS-S	0.02	2
Sim9	LTS-S	0.02	0
Sim10	LTS-S	0.02	4
Sim11	LTS-S	0.02	0
Sim12	LTS-S	0.02	3
Sim13	LTS-S	0.02	0
Sim14	LTS-S	0.02	2
Sim15	LTS-S	0.02	0
Sim16	LTS-S	0.02	5
Sim17	LTS-S	0.02	1
Sim18	LTS-S	0.02	2
Sim19	LTS-S	0.02	1
Sim20	LTS-S	0.02	1
Sim21	LTS-S	0.02	2
Sim22	LTS-S	0.02	2
Sim23	LTS-S	0.02	2
Sim24	LTS-S	0.02	0
Sim25	LTS-S	0.02	1
Sim26	LTS-S	0.02	5
Sim27	LTS-S	0.02	1
Sim28	LTS-S	0.02	4
Sim29	LTS-S	0.02	1
Sim30	LTS-S	0.02	2
Sim31	LTS-S	0.02	2
Sim32	LTS-S	0.02	0
Sim33	LTS-S	0.02	2
Sim34	LTS-S	0.02	0
Sim35	LTS-S	0.02	1
Sim36	LTS-S	0.02	0
Sim37	LTS-S	0.02	0
Sim38	LTS-S	0.02	1
Sim39	LTS-S	0.02	1
Sim40	LTS-S	0.02	5
Sim41	LTS-S	0.02	2
Sim42	LTS-S	0.02	0
Sim43	LTS-S	0.02	1
Sim44	LTS-S	0.02	1
Sim45	LTS-S	0.02	2
Sim46	LTS-S	0.02	1
Sim47	LTS-S	0.02	2
Sim48	LTS-S	0.02	3
Sim49	LTS-S	0.02	1
Sim50	LTS-S	0.02	0
Sim51	LTS-S	0.02	3
Sim52	LTS-S	0.02	1
Sim53	LTS-S	0.02	3
Sim54	LTS-S	0.02	0
Sim55	LTS-S	0.02	3
Sim56	LTS-S	0.02	1
Sim57	LTS-S	0.02	2
Sim58	LTS-S	0.02	3
Sim59	LTS-S	0.02	0
Sim60	LTS-S	0.02	2
Sim61	LTS-S	0.02	0
Sim62	LTS-S	0.02	0
Sim63	LTS-S	0.02	1
Sim64	LTS-S	0.02	0
Sim65	LTS-S	0.02	2
Sim66	LTS-S	0.02	4
Sim67	LTS-S	0.02	1
Sim68	LTS-S	0.02	2
Sim69	LTS-S	0.02	3
Sim70	LTS-S	0.02	5
Sim71	LTS-S	0.02	1
Sim72	LTS-S	0.02	2
Sim73	LTS-S	0.02	2
Sim74	LTS-S	0.02	1
Sim75	LTS-S	0.02	2
Sim76	LTS-S	0.02	2
Sim77	LTS-S	0.02	1
Sim78	LTS-S	0.02	1
Sim79	LTS-S	0.02	1
Sim80	LTS-S	0.02	2
Sim81	LTS-S	0.02	1
Sim82	LTS-S	0.02	1
Sim83	LTS-S	0.02	0
Sim84	LTS-S	0.02	1
Sim85	LTS-S	0.02	1
Sim86	LTS-S	0.02	0
Sim87	LTS-S	0.02	0
Sim88	LTS-S	0.02	0
Sim89	LTS-S	0.02	2
Sim90	LTS-S	0.02	2
Sim91	LTS-S	0.02	0
Sim92	LTS-S	0.02	1
Sim93	LTS-S	0.02	3
Sim94	LTS-S	0.02	1
Sim95	LTS-S	0.02	0
Sim96	LTS-S	0.02	2
Sim97	LTS-S	0.02	2
Sim98	LTS-S	0.02	3
Sim99	LTS-S	0.02	0
Sim100	LTS-S	0.02	2
Sim1	LTS-S	0.06	0
Sim2	LTS-S	0.06	0
Sim3	LTS-S	0.06	0
Sim4	LTS-S	0.06	0
Sim5	LTS-S	0.06	0
Sim6	LTS-S	0.06	0
Sim7	LTS-S	0.06	0
Sim8	LTS-S	0.06	0
Sim9	LTS-S	0.06	0
Sim10	LTS-S	0.06	0
Sim11	LTS-S	0.06	0
Sim12	LTS-S	0.06	0
Sim13	LTS-S	0.06	0
Sim14	LTS-S	0.06	0
Sim15	LTS-S	0.06	0
Sim16	LTS-S	0.06	0
Sim17	LTS-S	0.06	0
Sim18	LTS-S	0.06	0
Sim19	LTS-S	0.06	0
Sim20	LTS-S	0.06	0
Sim21	LTS-S	0.06	0
Sim22	LTS-S	0.06	0
Sim23	LTS-S	0.06	0
Sim24	LTS-S	0.06	0
Sim25	LTS-S	0.06	0
Sim26	LTS-S	0.06	0
Sim27	LTS-S	0.06	0
Sim28	LTS-S	0.06	0
Sim29	LTS-S	0.06	0
Sim30	LTS-S	0.06	0
Sim31	LTS-S	0.06	0
Sim32	LTS-S	0.06	0
Sim33	LTS-S	0.06	0
Sim34	LTS-S	0.06	0
Sim35	LTS-S	0.06	0
Sim36	LTS-S	0.06	0
Sim37	LTS-S	0.06	0
Sim38	LTS-S	0.06	0
Sim39	LTS-S	0.06	0
Sim40	LTS-S	0.06	0
Sim41	LTS-S	0.06	0
Sim42	LTS-S	0.06	0
Sim43	LTS-S	0.06	0
Sim44	LTS-S	0.06	0
Sim45	LTS-S	0.06	0
Sim46	LTS-S	0.06	0
Sim47	LTS-S	0.06	0
Sim48	LTS-S	0.06	0
Sim49	LTS-S	0.06	0
Sim50	LTS-S	0.06	0
Sim51	LTS-S	0.06	0
Sim52	LTS-S	0.06	0
Sim53	LTS-S	0.06	0
Sim54	LTS-S	0.06	0
Sim55	LTS-S	0.06	0
Sim56	LTS-S	0.06	0
Sim57	LTS-S	0.06	0
Sim58	LTS-S	0.06	0
Sim59	LTS-S	0.06	0
Sim60	LTS-S	0.06	0
Sim61	LTS-S	0.06	0
Sim62	LTS-S	0.06	0
Sim63	LTS-S	0.06	0
Sim64	LTS-S	0.06	0
Sim65	LTS-S	0.06	0
Sim66	LTS-S	0.06	0
Sim67	LTS-S	0.06	0
Sim68	LTS-S	0.06	0
Sim69	LTS-S	0.06	0
Sim70	LTS-S	0.06	0
Sim71	LTS-S	0.06	0
Sim72	LTS-S	0.06	0
Sim73	LTS-S	0.06	0
Sim74	LTS-S	0.06	0
Sim75	LTS-S	0.06	0
Sim76	LTS-S	0.06	0
Sim77	LTS-S	0.06	0
Sim78	LTS-S	0.06	0
Sim79	LTS-S	0.06	0
Sim80	LTS-S	0.06	0
Sim81	LTS-S	0.06	0
Sim82	LTS-S	0.06	0
Sim83	LTS-S	0.06	0
Sim84	LTS-S	0.06	0
Sim85	LTS-S	0.06	0
Sim86	LTS-S	0.06	0
Sim87	LTS-S	0.06	0
Sim88	LTS-S	0.06	0
Sim89	LTS-S	0.06	0
Sim90	LTS-S	0.06	0
Sim91	LTS-S	0.06	0
Sim92	LTS-S	0.06	0
Sim93	LTS-S	0.06	0
Sim94	LTS-S	0.06	0
Sim95	LTS-S	0.06	0
Sim96	LTS-S	0.06	0
Sim97	LTS-S	0.06	0
Sim98	LTS-S	0.06	0
Sim99	LTS-S	0.06	0
Sim100	LTS-S	0.06	0
Sim1	LTS-S	0.1	0
Sim2	LTS-S	0.1	0
Sim3	LTS-S	0.1	0
Sim4	LTS-S	0.1	0
Sim5	LTS-S	0.1	0
Sim6	LTS-S	0.1	0
Sim7	LTS-S	0.1	0
Sim8	LTS-S	0.1	0
Sim9	LTS-S	0.1	0
Sim10	LTS-S	0.1	0
Sim11	LTS-S	0.1	0
Sim12	LTS-S	0.1	0
Sim13	LTS-S	0.1	0
Sim14	LTS-S	0.1	0
Sim15	LTS-S	0.1	0
Sim16	LTS-S	0.1	0
Sim17	LTS-S	0.1	0
Sim18	LTS-S	0.1	0
Sim19	LTS-S	0.1	0
Sim20	LTS-S	0.1	0
Sim21	LTS-S	0.1	0
Sim22	LTS-S	0.1	0
Sim23	LTS-S	0.1	0
Sim24	LTS-S	0.1	0
Sim25	LTS-S	0.1	0
Sim26	LTS-S	0.1	0
Sim27	LTS-S	0.1	0
Sim28	LTS-S	0.1	0
Sim29	LTS-S	0.1	0
Sim30	LTS-S	0.1	0
Sim31	LTS-S	0.1	0
Sim32	LTS-S	0.1	0
Sim33	LTS-S	0.1	0
Sim34	LTS-S	0.1	0
Sim35	LTS-S	0.1	0
Sim36	LTS-S	0.1	0
Sim37	LTS-S	0.1	0
Sim38	LTS-S	0.1	0
Sim39	LTS-S	0.1	0
Sim40	LTS-S	0.1	0
Sim41	LTS-S	0.1	0
Sim42	LTS-S	0.1	0
Sim43	LTS-S	0.1	0
Sim44	LTS-S	0.1	0
Sim45	LTS-S	0.1	0
Sim46	LTS-S	0.1	0
Sim47	LTS-S	0.1	0
Sim48	LTS-S	0.1	0
Sim49	LTS-S	0.1	0
Sim50	LTS-S	0.1	0
Sim51	LTS-S	0.1	0
Sim52	LTS-S	0.1	0
Sim53	LTS-S	0.1	0
Sim54	LTS-S	0.1	0
Sim55	LTS-S	0.1	0
Sim56	LTS-S	0.1	0
Sim57	LTS-S	0.1	0
Sim58	LTS-S	0.1	0
Sim59	LTS-S	0.1	0
Sim60	LTS-S	0.1	0
Sim61	LTS-S	0.1	0
Sim62	LTS-S	0.1	0
Sim63	LTS-S	0.1	0
Sim64	LTS-S	0.1	0
Sim65	LTS-S	0.1	0
Sim66	LTS-S	0.1	0
Sim67	LTS-S	0.1	0
Sim68	LTS-S	0.1	0
Sim69	LTS-S	0.1	0
Sim70	LTS-S	0.1	0
Sim71	LTS-S	0.1	0
Sim72	LTS-S	0.1	0
Sim73	LTS-S	0.1	0
Sim74	LTS-S	0.1	0
Sim75	LTS-S	0.1	0
Sim76	LTS-S	0.1	0
Sim77	LTS-S	0.1	0
Sim78	LTS-S	0.1	0
Sim79	LTS-S	0.1	0
Sim80	LTS-S	0.1	0
Sim81	LTS-S	0.1	0
Sim82	LTS-S	0.1	0
Sim83	LTS-S	0.1	0
Sim84	LTS-S	0.1	0
Sim85	LTS-S	0.1	0
Sim86	LTS-S	0.1	0
Sim87	LTS-S	0.1	0
Sim88	LTS-S	0.1	0
Sim89	LTS-S	0.1	0
Sim90	LTS-S	0.1	0
Sim91	LTS-S	0.1	0
Sim92	LTS-S	0.1	0
Sim93	LTS-S	0.1	0
Sim94	LTS-S	0.1	0
Sim95	LTS-S	0.1	0
Sim96	LTS-S	0.1	0
Sim97	LTS-S	0.1	0
Sim98	LTS-S	0.1	0
Sim99	LTS-S	0.1	0
Sim100	LTS-S	0.1	0
Sim1	LTS-S	0.14	0
Sim2	LTS-S	0.14	0
Sim3	LTS-S	0.14	0
Sim4	LTS-S	0.14	0
Sim5	LTS-S	0.14	0
Sim6	LTS-S	0.14	0
Sim7	LTS-S	0.14	0
Sim8	LTS-S	0.14	0
Sim9	LTS-S	0.14	0
Sim10	LTS-S	0.14	0
Sim11	LTS-S	0.14	0
Sim12	LTS-S	0.14	0
Sim13	LTS-S	0.14	0
Sim14	LTS-S	0.14	0
Sim15	LTS-S	0.14	0
Sim16	LTS-S	0.14	0
Sim17	LTS-S	0.14	0
Sim18	LTS-S	0.14	0
Sim19	LTS-S	0.14	0
Sim20	LTS-S	0.14	0
Sim21	LTS-S	0.14	0
Sim22	LTS-S	0.14	0
Sim23	LTS-S	0.14	0
Sim24	LTS-S	0.14	0
Sim25	LTS-S	0.14	0
Sim26	LTS-S	0.14	0
Sim27	LTS-S	0.14	0
Sim28	LTS-S	0.14	0
Sim29	LTS-S	0.14	0
Sim30	LTS-S	0.14	0
Sim31	LTS-S	0.14	0
Sim32	LTS-S	0.14	0
Sim33	LTS-S	0.14	0
Sim34	LTS-S	0.14	0
Sim35	LTS-S	0.14	0
Sim36	LTS-S	0.14	0
Sim37	LTS-S	0.14	0
Sim38	LTS-S	0.14	0
Sim39	LTS-S	0.14	0
Sim40	LTS-S	0.14	0
Sim41	LTS-S	0.14	0
Sim42	LTS-S	0.14	0
Sim43	LTS-S	0.14	0
Sim44	LTS-S	0.14	0
Sim45	LTS-S	0.14	0
Sim46	LTS-S	0.14	0
Sim47	LTS-S	0.14	0
Sim48	LTS-S	0.14	0
Sim49	LTS-S	0.14	0
Sim50	LTS-S	0.14	0
Sim51	LTS-S	0.14	0
Sim52	LTS-S	0.14	0
Sim53	LTS-S	0.14	0
Sim54	LTS-S	0.14	0
Sim55	LTS-S	0.14	0
Sim56	LTS-S	0.14	0
Sim57	LTS-S	0.14	0
Sim58	LTS-S	0.14	0
Sim59	LTS-S	0.14	0
Sim60	LTS-S	0.14	0
Sim61	LTS-S	0.14	0
Sim62	LTS-S	0.14	0
Sim63	LTS-S	0.14	0
Sim64	LTS-S	0.14	0
Sim65	LTS-S	0.14	0
Sim66	LTS-S	0.14	0
Sim67	LTS-S	0.14	0
Sim68	LTS-S	0.14	0
Sim69	LTS-S	0.14	0
Sim70	LTS-S	0.14	0
Sim71	LTS-S	0.14	0
Sim72	LTS-S	0.14	0
Sim73	LTS-S	0.14	0
Sim74	LTS-S	0.14	0
Sim75	LTS-S	0.14	0
Sim76	LTS-S	0.14	0
Sim77	LTS-S	0.14	0
Sim78	LTS-S	0.14	0
Sim79	LTS-S	0.14	0
Sim80	LTS-S	0.14	0
Sim81	LTS-S	0.14	0
Sim82	LTS-S	0.14	0
Sim83	LTS-S	0.14	0
Sim84	LTS-S	0.14	0
Sim85	LTS-S	0.14	0
Sim86	LTS-S	0.14	0
Sim87	LTS-S	0.14	0
Sim88	LTS-S	0.14	0
Sim89	LTS-S	0.14	0
Sim90	LTS-S	0.14	0
Sim91	LTS-S	0.14	0
Sim92	LTS-S	0.14	0
Sim93	LTS-S	0.14	0
Sim94	LTS-S	0.14	0
Sim95	LTS-S	0.14	0
Sim96	LTS-S	0.14	0
Sim97	LTS-S	0.14	0
Sim98	LTS-S	0.14	0
Sim99	LTS-S	0.14	0
Sim100	LTS-S	0.14	0
Sim1	LTS-S	0.18	0
Sim2	LTS-S	0.18	0
Sim3	LTS-S	0.18	0
Sim4	LTS-S	0.18	0
Sim5	LTS-S	0.18	0
Sim6	LTS-S	0.18	0
Sim7	LTS-S	0.18	0
Sim8	LTS-S	0.18	0
Sim9	LTS-S	0.18	0
Sim10	LTS-S	0.18	0
Sim11	LTS-S	0.18	0
Sim12	LTS-S	0.18	0
Sim13	LTS-S	0.18	0
Sim14	LTS-S	0.18	0
Sim15	LTS-S	0.18	0
Sim16	LTS-S	0.18	0
