Replicate	Treatment	Bin	Count
Sim22	STS-S	0.34	0
Sim23	STS-S	0.34	0
Sim24	STS-S	0.34	0
Sim25	STS-S	0.34	0
Sim26	STS-S	0.34	0
Sim27	STS-S	0.34	0
Sim28	STS-S	0.34	0
Sim29	STS-S	0.34	0
Sim30	STS-S	0.34	0
Sim31	STS-S	0.34	0
Sim32	STS-S	0.34	0
Sim33	STS-S	0.34	0
Sim34	STS-S	0.34	0
Sim35	STS-S	0.34	0
Sim36	STS-S	0.34	0
Sim37	STS-S	0.34	0
Sim38	STS-S	0.34	0
Sim39	STS-S	0.34	0
Sim40	STS-S	0.34	0
Sim41	STS-S	0.34	0
Sim42	STS-S	0.34	0
Sim43	STS-S	0.34	0
Sim44	STS-S	0.34	0
Sim45	STS-S	0.34	0
Sim46	STS-S	0.34	0
Sim47	STS-S	0.34	0
Sim48	STS-S	0.34	0
Sim49	STS-S	0.34	0
Sim50	STS-S	0.34	0
Sim51	STS-S	0.34	0
Sim52	STS-S	0.34	0
Sim53	STS-S	0.34	0
Sim54	STS-S	0.34	0
Sim55	STS-S	0.34	0
Sim56	STS-S	0.34	0
Sim57	STS-S	0.34	0
Sim58	STS-S	0.34	0
Sim59	STS-S	0.34	0
Sim60	STS-S	0.34	0
Sim61	STS-S	0.34	0
Sim62	STS-S	0.34	0
Sim63	STS-S	0.34	0
Sim64	STS-S	0.34	0
Sim65	STS-S	0.34	0
Sim66	STS-S	0.34	0
Sim67	STS-S	0.34	0
Sim68	STS-S	0.34	0
Sim69	STS-S	0.34	0
