"time"	"s.est"	"s.lower"	"s.upper"	"v.est"	"v.lower"	"v.upper"
0	6.12847101194094	0.728788437732874	15.5173786406138	43993.9030063666	43965.1864420358	44023.0586041896
0.5	6.40567660855238	0.788427459969767	16.3972205181206	19993.5779084222	19964.126739959	20023.1969579811
1	6.27930243631829	0.754962160757366	16.206464157434	10993.7012948985	10964.4197939857	11022.9979839281
1.5	6.81539479520795	0.957712294939251	16.9392876958431	2393.18841465697	2363.88840072457	2422.89963433873
2	12.4856385778307	3.4776421578407	23.7707270820174	2087.33945165408	2057.2254962637	2116.94897683744
2.5	11.1975432445459	2.73541479678913	22.6732280085922	1688.73476309949	1659.00039931905	1718.96135922822
3	20.7917215461688	9.51788536039457	32.6764390141272	3479.34705390815	3449.42170367997	3509.31282558934
3.5	36.8742311543506	24.7254573641778	48.643625093804	2263.17310374585	2232.96542629693	2293.63753132341
4	44.74989427361	32.1709245177789	56.7262643941619	1655.219122949	1624.70367642909	1685.67613886034
4.5	29.86242190188	18.0158508307907	41.5958491161344	969.85116884884	939.067647512468	1000.16493061093
5	47.950834583849	35.3627416948052	59.6720514343287	961.792158157585	931.033270631479	992.439821384261
5.5	61.9730275579822	49.3423083126266	74.0001218860806	767.822195361136	737.445131045788	798.458688888085
6	62.95404647907	50.2889650763572	74.9138497754678	456.67121295204	426.26973126302	487.325167998842
6.5	76.8036399193944	64.1753813690902	88.6523729858863	482.797833186793	452.281487516895	512.919857640712
7	57.9115315069901	45.4852757558272	69.514449254222	221.278717473468	190.74066454642	251.655092434087
7.5	66.0227602454433	53.6130572431237	77.8146122212884	183.114330063798	152.957700184845	212.901387923576
8	65.8543919617563	53.0627445037075	77.5440135632443	233.529284929127	203.049047676666	264.44962192481
8.5	79.8515563113846	67.4464803991088	91.6751736017397	149.067505263138	118.413875613405	179.379173349051
9	82.129003040817	69.4842748794413	94.2286897997337	78.8332907044898	47.6115055072965	110.143148465041
10	74.3152271003907	64.0379326899874	85.1715071286259	19.3246612610457	3.59611066920651	41.7698929487752
11	80.2065057085999	69.8604415137584	91.150169601895	22.3741388988786	4.60129787798522	46.2098862748258
12	89.6554114383536	78.5635342252893	101.104553508207	26.2114564889724	5.99324389208627	51.7995089787287
12.5	99.7383723942834	88.4647860155959	110.290566994113	19.5209846300367	3.63618705566244	42.126116571494
13	86.0010243378644	74.6207667152844	96.5828123808466	15.9079738334284	2.74714673493712	35.9664857099754
