"time"	"s.est"	"s.lower"	"s.upper"	"v.est"	"v.lower"	"v.upper"
0	12.3924780422012	1.48654148502249	29.7564676456737	21987.6419260495	21968.636749507	22002.4425356013
0.5	14.0019136001184	1.50017287499875	38.0834652836177	19986.0006980664	19961.1691709019	20002.1725082219
1	12.845069206213	1.64801664077181	29.868734706025	9987.10755486448	9968.17071025346	10001.896325454
1.5	12.9956850478176	1.6020286904232	31.4469204300828	2586.95701958557	2567.11625529992	2601.77819704945
2	17.2716233923522	2.1108170807584	46.9257565441124	2082.6983456816	2052.89637602239	2101.12808286966
2.5	13.7359047313158	1.34379940030136	33.3729055513624	1886.26243369258	1864.88714234563	1901.25067230342
3	21.5598360964544	3.59184890501592	44.4766316783472	3078.43338888318	3054.75554149748	3098.74940454764
3.5	23.1789778206396	3.7443128056357	48.2918359125062	1976.7877243253	1950.54153388681	1997.56451710017
4	28.003591799649	7.24125704953953	52.204414872456	1172.0175741326	1146.40974893	1194.33576872029
4.5	26.7429533753504	6.04367736503996	52.0754470672592	1373.21393976001	1346.77095595899	1395.65401414899
5	47.8658224647225	21.3479122506287	73.2119460138736	842.099742715062	814.952033672591	869.988620585213
5.5	41.5429615059977	17.2691113343624	65.9213676729168	788.518818834878	762.602997742532	814.350365200244
6	37.7310390187235	12.9035280199572	61.1676103506278	592.223270094524	567.496434173147	618.782583055135
6.5	44.3031903625638	20.123184553751	70.3114224232276	505.666420615723	478.030672789844	531.271654775304
7	39.9323012855341	14.602588724616	67.0138399145679	390.044476092874	361.801085888761	417.126325229705
7.5	43.9410010798143	19.8141975077001	69.0244763769816	355.974120716548	328.984382432324	381.730374717606
8	50.9804104158931	24.9615467876019	77.602166975034	278.954002597173	250.917822200405	306.340372830706
8.5	74.9829858707158	47.723618694473	101.282126522522	144.926151199924	117.441839485291	173.60537479558
9	66.5212472214359	40.7511594015735	93.6856962943359	72.3328573007179	43.3996838523891	99.4738769585717
10	76.5648632663265	62.5942516459555	90.1868215901009	18.4759870308214	5.59856076854163	33.3978192923791
11	86.2081900359943	70.7162634872698	99.1759488200678	16.102170037297	4.32649951230579	32.30602956115
12	87.9786302059285	71.7908420748134	101.783076735425	19.8083725288571	6.5830322371905	36.9069650045482
12.5	119.291282076758	98.887737012939	137.715739992261	30.525124462346	12.0530472803551	51.9339474319161
13	88.8754559355818	72.891642042314	102.62592725174	19.0363759645631	6.08528569887697	35.9393689129915
13.5	125.851047887528	104.890382288815	146.804593661519	39.7413596360651	18.017580627534	61.5497159803214
14	114.107507169159	94.0440091582594	131.21032590698	26.9742577369977	9.8419513842386	47.9615950082164
14.5	112.361726090625	93.6051492676249	127.974804284177	23.9811675610582	8.67275404299841	43.9098913025186
15	107.854623538622	88.6229118465613	125.607554356341	30.0238268835764	11.9009011258851	50.2836606945535
15.5	119.652033546919	101.293859868643	135.476193454786	23.6371149574586	8.18676887684406	42.7279662112898
16	125.925237462799	106.927218365594	145.487140662621	31.9707985454146	12.4088594397011	51.7571428404888
16.5	115.467601449824	93.346789442934	134.256317274909	39.9604856476063	20.3531989799047	63.4607886721372
17	112.730779769313	89.2212974406885	136.056485123588	60.3313933749892	35.4297960069762	85.3398001433343
17.5	107.21108453135	87.1152453107853	130.520114766606	35.3490849460395	12.013580552795	56.3732558708941
18	118.473094763456	97.0830027707547	139.999723650823	59.5856190947948	36.0721944197501	82.2846728067554
19	129.246472522271	106.787165604237	154.997721235688	100.59881639228	73.687591337934	124.318780408024
20	131.222642017078	107.542116147157	154.459523366067	98.5354432592226	73.8139642704394	123.236578101696
21	146.097718494185	124.10191091961	168.106281828094	53.0428419344745	29.6490929524157	76.2536937649617
22	105.071274467691	82.6838581657986	125.919459180474	104.68602321217	82.4268127065433	128.209587554745
23	107.920033247086	87.0662649642727	129.669927144205	43.4193836971254	20.9367721665812	65.6134629563656
