"","strain","rep","a","b","c","z","AIC","N.obs","std.err","UL","LL","b.diff"
"1","KBS0812","1","82644.8110248116","0.202420431868002","0.135671153404974","-71.5343266578564","67","67","0.00360599118330788","1.00156803530312","0.98743254986455","TRUE"
"2","KBS0812","2","3395.77659183655","1.57528053316972","0.183253735217197","-31.2448004105168","67","67","0.00353407421500162","1.00199552558157","0.988141954658764","TRUE"
"3","KBS0812","3","4162.75456961394","1.19038755067292","0.207155313069552","-14.817823279045","67","67","0.00408537099978309","1.00119951302236","0.985184858703208","TRUE"
"4","KBS0812","4","1154.23967303102","4.83024063295239","0.394549926703869","71.5143292691827","67","67","0.00463396581137353","1.00749394281513","0.989328796834545","TRUE"
