Curve,b0,b0.se,A,A.se,umax,umax.se,L,L.se,RSME,CV,outlier
M19_1,0.1128,0.00237,0.1794,0.00256,0.0539,0.00228,2.504,0.10428,0.0065,2.496,2
M19_2,0.1082,0.00761,0.2298,0.00815,0.0358,0.00118,0.6273,0.28801,0.0074,2.478,1
M19_3,0.1307,0.00176,0.2207,0.00188,0.0547,0.00108,1.9595,0.06204,0.0041,1.31,1
M19_4,0.133,0.00353,0.2093,0.00375,0.0728,0.00368,2.3715,0.11705,0.0093,3.017,2
M19_5,0.1295,0.003,0.2156,0.00322,0.0745,0.00351,2.5186,0.1038,0.0082,2.651,3
M19_6,0.1257,0.0019,0.2331,0.00206,0.0451,0.00077,1.7734,0.07294,0.004,1.263,1
M19_7,0.1195,0.00236,0.1796,0.00254,0.0565,0.00239,2.5167,0.10021,0.0065,2.428,1
M19_8,0.1366,0.00285,0.1887,0.00305,0.0659,0.00336,2.2374,0.10728,0.0073,2.478,2
M19_9,0.1331,0.00249,0.1986,0.00266,0.0696,0.00283,2.4314,0.09102,0.0066,2.212,2
M19_10,0.1149,0.00662,0.2214,0.00742,0.0453,0.00369,1.8486,0.29541,0.0138,4.703,1
M19_11,0.1264,0.00241,0.2,0.00257,0.0567,0.00188,2.2579,0.0919,0.0061,2.095,1
M19_12,0.1393,0.00205,0.187,0.0022,0.0598,0.00201,2.3207,0.08163,0.0053,1.797,2
M19_13,0.1353,0.00291,0.2033,0.00311,0.06,0.00248,2.1459,0.10854,0.0071,2.328,1
M19_14,0.1349,0.0039,0.1821,0.00424,0.0565,0.00441,2.4131,0.17961,0.0101,3.553,2
