Curve,b0,b0.se,A,A.se,umax,umax.se,L,L.se,RSME,CV,outlier
M26_1,0.1012,0.016,0.3455,0.01744,0.0613,0.00445,1.1526,0.42395,0.0211,5.503,1
M26_2,0.1226,0.0037,0.3003,0.00393,0.0863,0.00273,1.7595,0.08624,0.0081,2.145,1
M26_3,0.1215,0.00853,0.3202,0.00905,0.084,0.00502,1.4318,0.18581,0.016,4.057,0
M26_4,0.1131,0.00889,0.3304,0.00948,0.0817,0.00495,1.5105,0.1986,0.0171,4.383,0
M26_5,0.1331,0.00654,0.3079,0.00689,0.1086,0.00657,1.8379,0.1344,0.0148,3.728,1
M26_6,0.1298,0.00619,0.3386,0.00644,0.1485,0.00767,1.6531,0.09989,0.0129,3.012,2
M26_7,0.1305,0.00493,0.3035,0.00521,0.1123,0.00557,1.9853,0.1011,0.012,3.085,0
M26_8,0.1196,0.00701,0.3191,0.00742,0.1112,0.0073,1.805,0.1368,0.0163,4.138,0
M26_9,0.1144,0.00946,0.3478,0.0101,0.0894,0.00567,1.4444,0.19857,0.0175,4.287,1
M26_10,0.1127,0.00573,0.3105,0.00614,0.0818,0.00399,1.7856,0.13801,0.0127,3.42,2
M26_11,0.1236,0.00538,0.3145,0.00575,0.0963,0.00489,1.9481,0.12185,0.0127,3.275,0
M26_12,0.1215,0.0087,0.3248,0.00936,0.0891,0.00674,1.7467,0.20474,0.0186,4.71,1
M26_13,0.1146,0.00943,0.3488,0.01012,0.0864,0.00567,1.5601,0.20695,0.0185,4.55,0
M26_14,0.123,0.00429,0.2858,0.00454,0.1071,0.00502,2.1596,0.09574,0.0109,2.996,2
