Curve,b0,b0.se,A,A.se,umax,umax.se,L,L.se,RSME,CV,outlier
M41_1,0.0506,0.02086,0.4006,0.02263,0.0293,0.00066,-2.2091,0.66758,0.0067,1.903,2
M41_2,0.1299,0.00318,0.2508,0.00346,0.0558,0.00178,2.0632,0.11199,0.0074,2.226,0
M41_3,0.1273,0.00521,0.307,0.00582,0.038,0.00077,1.1089,0.19381,0.0069,1.91,1
M41_4,0.149,0.00265,0.2643,0.0029,0.0376,0.00051,1.3564,0.1038,0.0041,1.159,1
M41_5,0.1455,0.00377,0.2685,0.0041,0.0336,0.00051,1.0941,0.15037,0.0052,1.482,1
M41_6,0.1464,0.00193,0.3112,0.00217,0.056,0.00086,2.5953,0.06692,0.0051,1.333,2
M41_7,0.1658,0.00155,0.229,0.00171,0.0414,0.00063,2.2956,0.0696,0.0037,1.083,2
M41_8,0.1609,0.00247,0.3078,0.00276,0.0448,0.00062,1.7991,0.08808,0.0048,1.218,2
M41_9,0.1488,0.00267,0.2882,0.00291,0.0381,4e-04,1.0414,0.09648,0.0035,0.95,1
M41_10,0.1698,0.00148,0.2441,0.0016,0.0382,0.00034,1.4428,0.05822,0.0025,0.687,1
M41_11,0.1219,0.00638,0.2555,0.00728,0.0356,0.0015,1.4835,0.28896,0.0103,3.229,0
M41_12,0.1577,0.00216,0.2569,0.00236,0.0389,5e-04,1.5203,0.08507,0.0037,1.032,1
M41_13,0.1352,0.00251,0.2631,0.00286,0.0338,0.00052,1.7218,0.11557,0.0045,1.368,1
M41_14,0.1317,0.00254,0.2912,0.00278,0.0426,0.00053,1.3814,0.08872,0.0041,1.14,4
